ds,y
1579222800000,131.0
1579223700000,127.0
1579224600000,126.0
1579225500000,127.0
1579227300000,251.0
1579228200000,126.0
1579229100000,127.0
1579230000000,125.0
1579230900000,127.0
1579231800000,136.0
1579232700000,139.0
1579233600000,129.0
1579234500000,127.0
1579235400000,127.0
1579236300000,127.0
1579237200000,127.0
1579238100000,127.0
1579239000000,126.0
1579239900000,126.0
1579240800000,127.0
1579241700000,75.0
1579242600000,76.0
1579243500000,76.0
1579244400000,76.0
1579245300000,235.0
1579246200000,230.0
1579247100000,219.0
1579248000000,217.0
1579248900000,220.0
1579249800000,214.0
1579250700000,208.0
1579251600000,616.0
1579252500000,1144.0
1579253400000,1482.0
1579254300000,1455.0
1579255200000,1439.0
1579256100000,1586.0
1579257000000,1472.0
1579257900000,1464.0
1579259700000,2769.0
1579260600000,1095.0
1579261500000,1250.0
1579262400000,1076.0
1579263300000,1196.0
1579264200000,926.0
1579265100000,916.0
1579266000000,762.0
1579266900000,773.0
1579267800000,710.0
1579268700000,827.0
1579269600000,773.0
1579270500000,736.0
1579271400000,869.0
1579272300000,944.0
1579273200000,895.0
1579275000000,1990.0
1579275900000,959.0
1579276800000,936.0
1579277700000,926.0
1579278600000,964.0
1579279500000,1087.0
1579280400000,976.0
1579281300000,889.0
1579282200000,826.0
1579283100000,612.0
1579284000000,515.0
1579284900000,449.0
1579285800000,371.0
1579286700000,174.0
1579287600000,134.0
1579288500000,130.0
1579289400000,134.0
1579290300000,459.0
1579291200000,275.0
1579292100000,91.0
1579293000000,91.0
1579293900000,92.0
1579294800000,91.0
1579295700000,92.0
1579296600000,91.0
1579297500000,91.0
1579298400000,91.0
1579299300000,91.0
1579300200000,91.0
1579301100000,90.0
1579302000000,96.0
1579302900000,104.0
1579303800000,98.0
1579304700000,92.0
1579305600000,87.0
1579306500000,94.0
1579307400000,94.0
1579308300000,94.0
1579309200000,92.0
1579310100000,91.0
1579311000000,91.0
1579311900000,90.0
1579312800000,91.0
1579313700000,90.0
1579314600000,96.0
1579315500000,103.0
1579316400000,97.0
1579410000000,78.0
1579410900000,128.0
1579411800000,119.0
1579412700000,120.0
1579413600000,119.0
1579414500000,60.0
1579415400000,51.0
1579416300000,51.0
1579417200000,51.0
1579418100000,51.0
1579419000000,49.0
1579419900000,49.0
1579420800000,50.0
1579421700000,51.0
1579422600000,58.0
1579423500000,51.0
1579424400000,26.0
1579425300000,1.0
1579426200000,0.0
1579427100000,0.0
1579428000000,0.0
1579428900000,0.0
1579429800000,0.0
1579430700000,0.0
1579431600000,1.0
1579432500000,0.0
1579433400000,0.0
1579434300000,0.0
1579435200000,0.0
1579436100000,0.0
1579437000000,0.0
1579437900000,0.0
1579438800000,0.0
1579439700000,0.0
1579440600000,0.0
1579441500000,0.0
1579442400000,0.0
1579443300000,0.0
1579444200000,0.0
1579445100000,0.0
1579446000000,0.0
1579446900000,0.0
1579447800000,6.0
1579448700000,29.0
1579449600000,29.0
1579450500000,30.0
1579451400000,30.0
1579452300000,33.0
1579453200000,33.0
1579454100000,35.0
1579455000000,37.0
1579455900000,42.0
1579456800000,51.0
1579457700000,49.0
1579458600000,38.0
1579459500000,40.0
1579460400000,39.0
1579461300000,40.0
1579462200000,41.0
1579463100000,92.0
1579464000000,87.0
1579464900000,91.0
1579465800000,89.0
1579466700000,90.0
1579467600000,88.0
1579468500000,91.0
1579469400000,99.0
1579470300000,100.0
1579471200000,88.0
1579472100000,91.0
1579473000000,88.0
1579473900000,89.0
1579474800000,89.0
1579475700000,89.0
1579476600000,87.0
1579477500000,88.0
1579478400000,81.0
1579479300000,95.0
1579480200000,93.0
1579481100000,97.0
1579482000000,97.0
1579482900000,102.0
1579483800000,88.0
1579484700000,90.0
1579485600000,89.0
1579486500000,88.0
1579487400000,88.0
1579488300000,90.0
1579489200000,86.0
1579490100000,90.0
1579491000000,88.0
1579491900000,88.0
1579492800000,88.0
1579493700000,89.0
1579494600000,90.0
1579495500000,102.0
1579496400000,97.0
1579497300000,89.0
1579498200000,87.0
1579499100000,90.0
1579500000000,86.0
1579500900000,39.0
1579501800000,37.0
1579502700000,39.0
1579503600000,44.0
1579504500000,184.0
1579505400000,176.0
1579506300000,178.0
1579507200000,173.0
1579508100000,196.0
1579509000000,195.0
1579509900000,190.0
1579510800000,422.0
1579511700000,944.0
1579512600000,1062.0
1579513500000,1092.0
1579514400000,1129.0
1579515300000,1159.0
1579516200000,1177.0
1579517100000,1261.0
1579518000000,1154.0
1579518900000,1076.0
1579519800000,1065.0
1579520700000,750.0
1579521600000,705.0
1579522500000,857.0
1579523400000,948.0
1579524300000,765.0
1579525200000,642.0
1579526100000,782.0
1579527000000,662.0
1579527900000,907.0
1579528800000,704.0
1579529700000,669.0
1579530600000,642.0
1579531500000,669.0
1579532400000,847.0
1579533300000,948.0
1579534200000,810.0
1579535100000,868.0
1579536000000,890.0
1579536900000,983.0
1579537800000,938.0
1579538700000,1035.0
1579539600000,1178.0
1579540500000,924.0
1579541400000,842.0
1579542300000,892.0
1579543200000,1004.0
1579544100000,667.0
1579545000000,623.0
1579545900000,634.0
1579546800000,391.0
1579547700000,170.0
1579548600000,229.0
1579549500000,447.0
1579550400000,230.0
1579551300000,197.0
1579552200000,118.0
1579553100000,119.0
1579554000000,118.0
1579554900000,118.0
1579555800000,118.0
1579556700000,120.0
1579557600000,117.0
1579558500000,120.0
1579559400000,117.0
1579560300000,125.0
1579561200000,131.0
1579562100000,126.0
1579563000000,118.0
1579563900000,120.0
1579564800000,112.0
1579565700000,121.0
1579566600000,117.0
1579567500000,120.0
1579568400000,116.0
1579569300000,120.0
1579570200000,118.0
1579571100000,119.0
1579572000000,117.0
1579572900000,120.0
1579573800000,118.0
1579574700000,122.0
1579575600000,131.0
1579576500000,130.0
1579577400000,118.0
1579578300000,120.0
1579579200000,119.0
1579580100000,121.0
1579581000000,119.0
1579581900000,120.0
1579582800000,118.0
1579583700000,119.0
1579584600000,118.0
1579585500000,120.0
1579586400000,114.0
1579587300000,70.0
1579588200000,68.0
1579589100000,69.0
1579590000000,87.0
1579590900000,228.0
1579591800000,211.0
1579592700000,207.0
1579593600000,241.0
1579594500000,222.0
1579595400000,213.0
1579596300000,213.0
1579597200000,200.0
1579598100000,374.0
1579599000000,395.0
1579599900000,434.0
1579600800000,429.0
1579601700000,438.0
1579602600000,421.0
1579603500000,449.0
1579604400000,698.0
1579605300000,718.0
1579606200000,586.0
1579607100000,589.0
1579608000000,636.0
1579608900000,624.0
1579609800000,701.0
1579610700000,574.0
1579611600000,600.0
1579612500000,720.0
1579613400000,567.0
1579614300000,407.0
1579615200000,327.0
1579616100000,383.0
1579617000000,491.0
1579617900000,375.0
1579618800000,432.0
1579619700000,476.0
1579620600000,907.0
1579621500000,979.0
1579622400000,984.0
1579623300000,1014.0
1579624200000,1032.0
1579625100000,1013.0
1579626000000,1006.0
1579626900000,897.0
1579627800000,882.0
1579628700000,985.0
1579629600000,832.0
1579630500000,420.0
1579631400000,231.0
1579632300000,196.0
1579633200000,270.0
1579634100000,388.0
1579635000000,390.0
1579635900000,254.0
1579636800000,154.0
1579637700000,154.0
1579638600000,150.0
1579639500000,154.0
1579640400000,147.0
1579641300000,154.0
1579642200000,148.0
1579643100000,152.0
1579644000000,157.0
1579644900000,163.0
1579645800000,155.0
1579646700000,152.0
1579647600000,148.0
1579648500000,134.0
1579649400000,131.0
1579650300000,136.0
1579651200000,124.0
1579652100000,134.0
1579653000000,133.0
1579653900000,133.0
1579654800000,133.0
1579655700000,132.0
1579656600000,129.0
1579657500000,122.0
1579658400000,126.0
1579659300000,133.0
1579660200000,122.0
1579661100000,121.0
1579662000000,121.0
1579662900000,119.0
1579663800000,119.0
1579664700000,120.0
1579665600000,119.0
1579666500000,120.0
1579667400000,117.0
1579668300000,122.0
1579669200000,119.0
1579670100000,119.0
1579671000000,118.0
1579671900000,121.0
1579672800000,123.0
1579673700000,82.0
1579674600000,72.0
1579675500000,70.0
1579676400000,77.0
1579677300000,220.0
1579678200000,217.0
1579679100000,211.0
1579680000000,210.0
1579680900000,220.0
1579681800000,205.0
1579682700000,206.0
1579683600000,276.0
1579684500000,576.0
1579685400000,755.0
1579687200000,1356.0
1579688100000,921.0
1579689000000,976.0
1579689900000,957.0
1579690800000,785.0
1579691700000,645.0
1579692600000,542.0
1579693500000,596.0
1579694400000,698.0
1579695300000,691.0
1579696200000,563.0
1579697100000,501.0
1579698000000,419.0
